date	ba
19920731	0.003135
19920831	-0.062500
19920930	-0.013423
19921030	-0.020408
19921130	-0.017361
19921231	0.142349
19930129	-0.121495
19930226	-0.017730
19930331	0.018182
19930430	0.085714
19930528	0.049342
19930630	-0.066246
19930730	0.064189
19930831	0.012698
19930930	-0.031546
19931029	-0.022801
19931130	0.036667
19931231	0.119741
19940131	0.000000
19940228	0.086705
19940331	-0.048128
19940429	0.011236
19940531	0.036111
19940630	-0.002695
19940729	-0.035135
19940831	0.025210
19940930	-0.049451
19941031	0.014451
19941130	0.028490
19941230	0.047354
19950131	-0.053191
19950228	0.042135
19950331	0.165312
19950428	0.023256
19950531	0.075000
19950630	0.063694
19950731	0.069860
19950831	-0.041045
19950929	0.066406
19951031	-0.040293
19951130	0.116412
19951229	0.075472
19960131	-0.011164
19960229	0.050000
19960329	0.067797
19960430	-0.051948
19960531	0.041461
19960628	0.021994
19960731	0.015782
19960830	0.025763
19960930	0.044199
19961031	0.009259
19961129	0.044875
19961231	0.071698
19970131	0.005869
19970228	-0.047561
19970331	-0.030713
19970430	0.000000
19970530	0.071280
19970630	0.007117
19970731	0.106007
19970829	-0.068967
19970930	-0.001147
19971031	-0.118255
19971128	0.109687
19971231	-0.078824
19980130	-0.026820
19980227	0.142047
19980331	-0.039171
19980430	-0.039568
19980529	-0.043396
19980630	-0.066754
19980731	-0.129032
19980831	-0.199291
19980930	0.109091
19981030	0.094718
19981130	0.085258
19981231	-0.196923
19990129	0.063218
19990226	0.031063
19990331	-0.045614
19990430	0.194853
19990528	0.038831
19990630	0.046062
19990730	0.031250
19990831	0.001708
19990930	-0.059310
19991029	0.080645
19991130	-0.115007
19991231	0.020000
20000131	0.073906
20000229	-0.166798
20000331	0.023689
20000428	0.049587
20000531	-0.012220
20000630	0.070400
20000731	0.171898
20000831	0.097245
20000929	0.174825
20001031	0.076389
20001130	0.020498
20001229	-0.044344
20010131	-0.113636
20010228	0.066154
20010330	-0.104341
20010430	0.109316
20010531	0.020388
20010629	-0.115917
20010731	0.052698
20010831	-0.122330
20010928	-0.345703
20011031	-0.026866
20011130	0.081902
20011231	0.104843
20020131	0.055957
20020228	0.126496
20020328	0.049826
20020430	-0.075648
20020531	-0.039910
20020628	0.055100
20020731	-0.077333
20020830	-0.103083
20020930	-0.079309
20021031	-0.128333
20021129	0.150252
20021231	-0.031131
20030131	-0.042437
20030228	-0.122191
20030331	-0.090711
20030430	0.088587
20030530	0.130499
20030630	0.119009
20030731	-0.034965
20030829	0.134058
20030930	-0.081840
20031031	0.121177
20031128	0.001819
20031231	0.097682
20040130	-0.009255
20040227	0.042874
20040331	-0.053032
20040430	0.039445
20040528	0.077536
20040630	0.115502
20040730	-0.006655
20040831	0.032906
20040930	-0.011490
20041029	-0.033320
20041130	0.077555
20041231	-0.033601
20050131	-0.022600
20050228	0.091304
20050331	0.063489
20050429	0.018132
20050531	0.077789
