Datum;Grupp;Serie;rate
2011-06-01;Valutor mot svenska kronor;1 GBP;10.1375
2011-06-03;Valutor mot svenska kronor;1 GBP;10.1575
2011-06-07;Valutor mot svenska kronor;1 GBP;10.0925
2011-06-08;Valutor mot svenska kronor;1 GBP;10.055
2011-06-09;Valutor mot svenska kronor;1 GBP;10.1425
2011-06-10;Valutor mot svenska kronor;1 GBP;10.225
2011-06-13;Valutor mot svenska kronor;1 GBP;10.31
2011-06-14;Valutor mot svenska kronor;1 GBP;10.35
2011-06-15;Valutor mot svenska kronor;1 GBP;10.395
2011-06-16;Valutor mot svenska kronor;1 GBP;10.52
2011-06-17;Valutor mot svenska kronor;1 GBP;10.475
2011-06-20;Valutor mot svenska kronor;1 GBP;10.4167
2011-06-21;Valutor mot svenska kronor;1 GBP;10.3718
2011-06-22;Valutor mot svenska kronor;1 GBP;10.311
2011-06-23;Valutor mot svenska kronor;1 GBP;10.2916
2011-06-27;Valutor mot svenska kronor;1 GBP;10.393
2011-06-28;Valutor mot svenska kronor;1 GBP;10.3264
2011-06-29;Valutor mot svenska kronor;1 GBP;10.2676
2011-06-30;Valutor mot svenska kronor;1 GBP;10.15
2011-07-01;Valutor mot svenska kronor;1 GBP;10.13
2011-07-04;Valutor mot svenska kronor;1 GBP;10.0773
2011-07-05;Valutor mot svenska kronor;1 GBP;10.039
2011-07-06;Valutor mot svenska kronor;1 GBP;10.0831
2011-07-07;Valutor mot svenska kronor;1 GBP;10.1592
2011-07-08;Valutor mot svenska kronor;1 GBP;10.1068
2011-07-11;Valutor mot svenska kronor;1 GBP;10.2819
2011-07-12;Valutor mot svenska kronor;1 GBP;10.5555
2011-07-13;Valutor mot svenska kronor;1 GBP;10.4488
2011-07-14;Valutor mot svenska kronor;1 GBP;10.4469
2011-07-15;Valutor mot svenska kronor;1 GBP;10.5317
2011-07-18;Valutor mot svenska kronor;1 GBP;10.6179
2011-07-19;Valutor mot svenska kronor;1 GBP;10.4946
2011-07-20;Valutor mot svenska kronor;1 GBP;10.4409
2011-07-21;Valutor mot svenska kronor;1 GBP;10.3602
2011-07-22;Valutor mot svenska kronor;1 GBP;10.2337
2011-07-25;Valutor mot svenska kronor;1 GBP;10.348
2011-07-26;Valutor mot svenska kronor;1 GBP;10.2504
2011-07-27;Valutor mot svenska kronor;1 GBP;10.2687
2011-07-28;Valutor mot svenska kronor;1 GBP;10.3401
2011-07-29;Valutor mot svenska kronor;1 GBP;10.3943
2011-08-01;Valutor mot svenska kronor;1 GBP;10.315
2011-08-02;Valutor mot svenska kronor;1 GBP;10.338
2011-08-03;Valutor mot svenska kronor;1 GBP;10.4213
2011-08-04;Valutor mot svenska kronor;1 GBP;10.4248
2011-08-05;Valutor mot svenska kronor;1 GBP;10.6123
2011-08-08;Valutor mot svenska kronor;1 GBP;10.5928
2011-08-09;Valutor mot svenska kronor;1 GBP;10.5923
2011-08-10;Valutor mot svenska kronor;1 GBP;10.4762
2011-08-11;Valutor mot svenska kronor;1 GBP;10.5504
2011-08-12;Valutor mot svenska kronor;1 GBP;10.5867
2011-08-15;Valutor mot svenska kronor;1 GBP;10.5327
2011-08-16;Valutor mot svenska kronor;1 GBP;10.5377
2011-08-17;Valutor mot svenska kronor;1 GBP;10.5261
2011-08-18;Valutor mot svenska kronor;1 GBP;10.4925
2011-08-19;Valutor mot svenska kronor;1 GBP;10.6684
2011-08-22;Valutor mot svenska kronor;1 GBP;10.5403
2011-08-23;Valutor mot svenska kronor;1 GBP;10.4453
2011-08-24;Valutor mot svenska kronor;1 GBP;10.4625
2011-08-25;Valutor mot svenska kronor;1 GBP;10.3404
2011-08-26;Valutor mot svenska kronor;1 GBP;10.2862
2011-08-29;Valutor mot svenska kronor;1 GBP;10.288
2011-08-30;Valutor mot svenska kronor;1 GBP;10.3471
2011-08-31;Valutor mot svenska kronor;1 GBP;10.3569
2011-09-01;Valutor mot svenska kronor;1 GBP;10.3451
2011-09-02;Valutor mot svenska kronor;1 GBP;10.4177
2011-09-05;Valutor mot svenska kronor;1 GBP;10.3948
2011-09-06;Valutor mot svenska kronor;1 GBP;10.4125
2011-09-07;Valutor mot svenska kronor;1 GBP;10.2296
2011-09-08;Valutor mot svenska kronor;1 GBP;10.1509
2011-09-09;Valutor mot svenska kronor;1 GBP;10.2577
2011-09-12;Valutor mot svenska kronor;1 GBP;10.4492
2011-09-13;Valutor mot svenska kronor;1 GBP;10.6104
2011-09-14;Valutor mot svenska kronor;1 GBP;10.5726
2011-09-15;Valutor mot svenska kronor;1 GBP;10.5882
2011-09-16;Valutor mot svenska kronor;1 GBP;10.4553
2011-09-19;Valutor mot svenska kronor;1 GBP;10.5449
2011-09-20;Valutor mot svenska kronor;1 GBP;10.5237
2011-09-21;Valutor mot svenska kronor;1 GBP;10.431
2011-09-22;Valutor mot svenska kronor;1 GBP;10.5292
2011-09-23;Valutor mot svenska kronor;1 GBP;10.5573
2011-09-26;Valutor mot svenska kronor;1 GBP;10.7036
2011-09-27;Valutor mot svenska kronor;1 GBP;10.6058
2011-09-28;Valutor mot svenska kronor;1 GBP;10.5547
2011-09-29;Valutor mot svenska kronor;1 GBP;10.6088
2011-09-30;Valutor mot svenska kronor;1 GBP;10.6708
2011-10-03;Valutor mot svenska kronor;1 GBP;10.7223
2011-10-04;Valutor mot svenska kronor;1 GBP;10.6917
2011-10-05;Valutor mot svenska kronor;1 GBP;10.5857
2011-10-06;Valutor mot svenska kronor;1 GBP;10.5947
2011-10-07;Valutor mot svenska kronor;1 GBP;10.542
2011-10-10;Valutor mot svenska kronor;1 GBP;10.5473
2011-10-11;Valutor mot svenska kronor;1 GBP;10.4206
2011-10-12;Valutor mot svenska kronor;1 GBP;10.4237
2011-10-13;Valutor mot svenska kronor;1 GBP;10.3754
2011-10-14;Valutor mot svenska kronor;1 GBP;10.4949
2011-10-17;Valutor mot svenska kronor;1 GBP;10.4017
2011-10-18;Valutor mot svenska kronor;1 GBP;10.5521
2011-10-19;Valutor mot svenska kronor;1 GBP;10.4105
2011-10-20;Valutor mot svenska kronor;1 GBP;10.4556
2011-10-21;Valutor mot svenska kronor;1 GBP;10.4536
2011-10-24;Valutor mot svenska kronor;1 GBP;10.4515
2011-10-25;Valutor mot svenska kronor;1 GBP;10.4719
2011-10-26;Valutor mot svenska kronor;1 GBP;10.4853
2011-10-27;Valutor mot svenska kronor;1 GBP;10.3524
